student_id,age,country,prior_programming_experience,weeks_in_course,hours_spent_learning_per_week,practice_problems_solved,projects_completed,tutorial_videos_watched,uses_kaggle,participates_in_discussion_forums,debugging_sessions_per_week,self_reported_confidence_python,final_exam_score,passed_exam,decision
29,30,Other,Beginner,15,4.8,63,2,36,0,1,9,1,26.5,0,Failed
30,18,UK,No prior experience,1,6.1,47,1,39,0,1,4,2,8.8,0,Failed
31,52,Brazil,Intermediate,7,8.8,66,3,45,0,1,5,2,53.5,0,Failed
32,22,India,No prior experience,1,6.9,59,4,44,0,0,10,9,47.0,0,Failed
33,36,Pakistan,Beginner,1,9.4,62,3,37,1,1,4,6,45.2,0,Failed
34,24,Germany,Beginner,9,11.0,63,1,49,0,0,1,3,45.8,0,Failed
35,54,Indonesia,No prior experience,13,10.2,45,0,36,0,1,7,4,39.6,0,Failed
36,33,USA,Beginner,10,8.4,43,1,34,0,0,2,1,33.3,0,Failed
37,19,Bangladesh,Intermediate,7,7.0,61,4,32,0,0,7,7,68.3,1,Passed
38,40,India,No prior experience,13,4.1,42,1,34,0,0,6,7,10.1,0,Failed
39,29,USA,Advanced,11,9.2,57,2,39,0,0,5,8,72.2,1,Passed
40,24,Nigeria,Beginner,13,12.0,54,0,45,0,0,5,1,39.5,0,Failed
41,41,Bangladesh,No prior experience,4,8.0,63,5,47,1,1,1,9,61.0,1,Passed
42,17,USA,Beginner,6,12.8,52,2,43,1,0,4,2,61.8,1,Passed
43,35,UK,No prior experience,1,2.4,49,1,50,0,1,7,1,2.6,0,Failed
44,43,Germany,Intermediate,7,3.5,39,3,37,0,1,3,1,24.2,0,Failed
45,22,USA,Intermediate,12,9.6,73,4,31,0,1,9,8,82.6,1,Passed
46,23,Indonesia,Intermediate,15,7.8,71,1,41,0,0,6,3,49.0,0,Failed
47,50,Pakistan,Advanced,6,10.9,75,1,39,1,1,7,6,70.3,1,Passed
48,29,UK,Intermediate,4,7.0,69,4,55,1,0,4,6,63.9,1,Passed
49,32,India,Beginner,7,4.4,70,4,28,1,1,4,2,36.2,0,Failed
50,51,India,No prior experience,3,6.4,56,1,42,0,1,3,2,17.3,0,Failed
51,19,India,Beginner,1,2.4,54,2,36,1,0,6,1,41.5,0,Failed
52,17,India,No prior experience,4,3.6,49,3,38,0,1,2,9,27.8,0,Failed
53,21,Pakistan,Intermediate,3,9.9,55,2,37,1,0,7,1,51.2,0,Failed
54,19,USA,Beginner,1,9.6,57,3,32,0,0,5,6,59.4,0,Failed
55,44,Brazil,No prior experience,2,8.1,56,2,45,0,0,1,9,34.9,0,Failed
56,33,USA,No prior experience,11,1.8,69,8,35,0,1,8,6,53.6,0,Failed
57,41,Nigeria,Beginner,5,5.9,57,2,37,0,1,7,6,58.2,0,Failed
58,49,Germany,Beginner,15,3.3,73,1,38,1,0,1,4,16.2,0,Failed
59,25,Bangladesh,Beginner,8,10.5,57,1,43,1,0,2,5,33.4,0,Failed
60,51,Brazil,Beginner,1,5.2,69,0,40,1,0,3,1,23.4,0,Failed
61,29,Brazil,Beginner,4,3.7,67,0,42,1,1,7,3,41.4,0,Failed
62,46,USA,Beginner,14,7.1,71,2,37,0,1,4,6,45.2,0,Failed
63,30,Brazil,No prior experience,4,5.1,58,1,35,0,1,2,2,18.6,0,Failed
64,23,Other,No prior experience,5,11.5,57,3,37,0,1,6,1,24.6,0,Failed
65,29,Other,Beginner,7,4.8,64,2,38,1,1,2,1,39.6,0,Failed
66,38,Nigeria,Beginner,13,2.8,61,1,28,0,0,7,1,22.1,0,Failed
67,36,Bangladesh,No prior experience,12,0.5,53,1,41,0,0,3,10,8.0,0,Failed
68,31,Indonesia,Beginner,8,6.9,51,2,38,0,1,4,10,58.3,0,Failed
69,33,Pakistan,No prior experience,15,5.3,54,4,36,1,1,6,1,35.1,0,Failed
70,39,USA,Beginner,6,2.7,59,2,49,1,1,4,6,39.4,0,Failed
71,41,Pakistan,Beginner,1,10.6,48,2,45,0,0,6,10,53.7,0,Failed
72,40,Indonesia,Beginner,7,9.0,58,1,36,1,0,5,4,28.6,0,Failed
73,44,USA,Intermediate,3,6.9,65,1,36,0,0,5,4,43.6,0,Failed
74,30,USA,No prior experience,15,11.1,63,1,38,0,1,5,4,20.9,0,Failed
75,16,Bangladesh,Advanced,13,9.0,61,1,35,1,1,7,8,73.6,1,Passed
76,40,Pakistan,Beginner,13,4.5,54,2,27,0,0,6,7,39.4,0,Failed
77,22,Other,Beginner,13,3.9,69,2,40,0,1,4,5,42.9,0,Failed
78,24,India,Beginner,6,9.5,54,4,38,1,0,5,7,59.4,0,Failed
79,39,Pakistan,Beginner,15,8.2,65,3,39,1,0,6,8,70.3,1,Passed
80,16,Germany,Beginner,8,7.5,74,4,40,1,0,3,10,52.9,0,Failed
81,23,Germany,Beginner,7,4.5,57,5,49,0,1,6,8,56.5,0,Failed
82,39,USA,No prior experience,10,8.8,53,3,38,0,1,10,7,51.6,0,Failed
83,26,India,No prior experience,6,4.7,51,2,31,0,1,5,7,28.8,0,Failed
84,32,UK,Beginner,9,6.7,61,1,36,1,1,8,9,45.1,0,Failed
85,23,Indonesia,No prior experience,9,11.3,56,3,51,0,0,6,5,46.7,0,Failed
86,50,Nigeria,Beginner,1,5.0,60,2,35,0,0,5,8,37.2,0,Failed
87,50,India,No prior experience,1,2.3,66,0,35,0,1,5,2,7.0,0,Failed
88,48,Nigeria,Intermediate,1,3.8,42,4,34,1,1,7,8,64.8,1,Passed
89,20,Pakistan,Intermediate,8,10.0,59,3,47,0,0,7,1,46.2,0,Failed
90,54,Pakistan,Advanced,12,7.8,54,2,31,0,0,4,9,75.3,1,Passed
91,43,Nigeria,Beginner,13,6.6,58,0,41,0,0,6,1,31.7,0,Failed
92,22,Indonesia,Intermediate,14,5.5,50,1,41,0,0,4,8,32.1,0,Failed
93,24,India,Intermediate,12,8.5,61,6,40,0,0,8,3,44.2,0,Failed
94,23,UK,Beginner,14,4.5,68,1,50,0,0,4,4,15.6,0,Failed
95,27,USA,No prior experience,10,7.9,61,3,43,1,1,2,10,45.2,0,Failed
96,49,Bangladesh,Advanced,7,4.8,73,2,35,0,0,5,7,78.6,1,Passed
97,48,Pakistan,Beginner,3,4.3,58,4,47,0,1,6,10,61.9,1,Passed
98,38,Germany,Beginner,13,5.1,59,0,49,0,1,4,3,36.2,0,Failed
99,39,Indonesia,No prior experience,2,5.9,57,2,38,1,0,5,9,40.0,0,Failed
100,52,Bangladesh,No prior experience,4,6.9,69,3,38,0,1,7,3,36.5,0,Failed
101,50,UK,Intermediate,3,7.7,59,1,40,1,0,8,8,41.6,0,Failed
102,37,Brazil,Beginner,7,0.0,53,0,40,1,1,4,8,34.5,0,Failed
103,42,USA,No prior experience,10,4.6,62,1,45,0,0,5,3,10.5,0,Failed
104,50,Pakistan,No prior experience,15,5.8,70,4,47,0,0,6,3,24.7,0,Failed
105,16,USA,Beginner,15,11.5,56,2,52,1,1,2,10,58.9,0,Failed
106,50,Bangladesh,Beginner,8,3.8,68,1,29,1,0,3,5,39.0,0,Failed
107,52,USA,No prior experience,6,7.5,68,1,42,1,0,6,8,34.9,0,Failed
108,29,Brazil,Intermediate,3,11.5,52,2,33,1,0,3,6,62.9,1,Passed
109,18,Bangladesh,No prior experience,6,3.1,47,1,41,0,0,5,5,10.4,0,Failed
110,16,Pakistan,Beginner,15,8.2,45,3,48,1,1,8,5,62.2,1,Passed
111,20,India,Beginner,2,4.6,62,4,46,0,0,2,6,31.2,0,Failed
112,41,Germany,No prior experience,15,5.5,58,2,37,0,0,3,8,26.3,0,Failed
113,29,Bangladesh,Intermediate,12,4.6,53,2,43,1,0,3,6,53.6,0,Failed
114,54,Other,Intermediate,7,4.8,50,4,30,0,0,7,7,58.6,0,Failed
115,42,Brazil,Intermediate,14,15.2,75,1,43,0,1,7,9,91.4,1,Passed
116,24,Bangladesh,No prior experience,11,9.5,61,1,43,0,0,7,7,34.8,0,Failed
117,30,Bangladesh,No prior experience,10,10.3,56,2,44,0,1,3,9,37.6,0,Failed
118,30,Other,No prior experience,14,8.5,51,1,38,1,1,2,10,28.9,0,Failed
119,41,Pakistan,Beginner,7,2.2,53,1,47,0,0,4,1,4.9,0,Failed
120,28,Bangladesh,Intermediate,4,8.2,55,3,52,1,1,5,3,55.2,0,Failed
121,47,Germany,Intermediate,13,10.2,76,5,51,0,1,7,6,72.8,1,Passed
122,54,USA,Intermediate,8,4.4,53,3,45,0,0,5,3,45.1,0,Failed
123,47,Pakistan,Advanced,4,9.9,73,1,35,0,0,4,2,46.0,0,Failed
124,19,Germany,Intermediate,7,9.1,59,2,53,0,0,9,5,61.2,1,Passed
125,45,Pakistan,No prior experience,4,12.6,61,6,43,0,0,6,1,46.7,0,Failed
126,52,Germany,No prior experience,13,5.7,52,1,48,1,0,12,5,35.7,0,Failed
127,38,Brazil,Beginner,12,3.7,59,2,41,0,1,3,8,44.0,0,Failed
128,54,Germany,No prior experience,5,5.9,57,4,45,0,1,4,9,50.2,0,Failed
129,30,Nigeria,No prior experience,7,11.3,53,3,31,0,1,6,10,48.8,0,Failed
130,44,Germany,Beginner,13,1.5,61,2,38,0,1,6,6,41.2,0,Failed
131,51,India,Intermediate,14,0.8,56,0,37,0,1,4,4,29.2,0,Failed
132,28,India,No prior experience,14,7.3,60,5,41,1,1,2,3,32.8,0,Failed
133,47,Indonesia,Intermediate,13,5.7,49,0,31,0,1,5,8,40.0,0,Failed
134,22,Nigeria,Intermediate,10,7.0,60,1,26,0,0,8,2,47.8,0,Failed
135,37,Nigeria,Beginner,3,9.8,69,2,42,0,0,6,8,59.2,0,Failed
136,43,USA,No prior experience,10,5.3,59,2,44,0,0,2,7,26.5,0,Failed
137,17,Nigeria,No prior experience,5,1.4,60,4,50,0,0,4,2,19.3,0,Failed
138,21,USA,Intermediate,11,13.1,52,3,45,1,0,4,2,66.5,1,Passed
139,43,Indonesia,Intermediate,14,4.0,50,2,50,1,0,4,2,34.3,0,Failed
140,43,Indonesia,Intermediate,3,3.8,64,2,43,0,0,2,1,39.1,0,Failed
141,35,Brazil,Beginner,5,10.3,66,1,45,1,1,5,7,51.6,0,Failed
142,45,India,No prior experience,14,5.8,63,1,37,0,1,8,8,28.4,0,Failed
143,26,Germany,No prior experience,3,6.8,60,1,47,1,1,4,7,15.1,0,Failed
144,43,Germany,Intermediate,11,8.4,63,6,54,1,0,7,4,80.2,1,Passed
145,40,Other,No prior experience,10,10.3,63,0,38,0,1,2,9,21.8,0,Failed
146,54,Other,No prior experience,11,6.0,65,3,48,0,1,3,2,16.2,0,Failed
147,48,UK,Beginner,7,11.6,60,4,37,0,1,3,5,62.6,1,Passed
148,16,Pakistan,No prior experience,13,0.6,59,3,33,0,1,5,2,0.1,0,Failed
149,42,Brazil,No prior experience,1,9.3,57,3,38,0,0,4,3,36.8,0,Failed
150,28,UK,Beginner,9,4.5,52,0,49,1,0,6,2,18.0,0,Failed
151,18,UK,No prior experience,9,11.1,67,0,36,0,1,6,8,40.9,0,Failed
152,54,Bangladesh,No prior experience,5,7.4,62,2,40,0,0,4,10,25.1,0,Failed
153,21,Bangladesh,Intermediate,9,5.0,59,2,44,1,0,3,6,47.0,0,Failed
154,23,UK,Intermediate,10,9.0,59,0,35,1,0,2,5,53.8,0,Failed
155,42,Nigeria,No prior experience,13,9.7,71,1,38,0,0,5,5,29.1,0,Failed
156,24,Pakistan,Intermediate,15,8.9,51,0,34,1,1,5,9,48.7,0,Failed
157,52,Brazil,Beginner,6,3.9,47,6,48,1,0,3,2,48.4,0,Failed
158,48,UK,Beginner,15,5.5,57,2,43,0,0,2,1,7.9,0,Failed
159,39,Germany,Intermediate,5,7.0,59,5,40,0,1,3,6,76.0,1,Passed
160,30,Pakistan,Intermediate,13,6.9,69,4,29,1,0,4,8,59.9,0,Failed
161,47,Bangladesh,Intermediate,3,9.2,67,1,40,1,1,8,8,78.7,1,Passed
162,47,Germany,No prior experience,11,1.0,55,4,30,0,0,5,6,27.4,0,Failed
163,39,Bangladesh,No prior experience,11,8.0,60,4,37,0,1,7,3,34.7,0,Failed
164,27,Bangladesh,Intermediate,8,6.1,66,2,31,1,0,2,3,51.7,0,Failed
165,54,Pakistan,Beginner,4,4.5,63,1,35,1,1,7,2,18.3,0,Failed
166,17,Bangladesh,No prior experience,10,4.8,77,2,37,1,0,4,2,17.2,0,Failed
167,18,Indonesia,Intermediate,13,6.4,53,2,44,1,1,3,2,43.8,0,Failed
168,52,India,Intermediate,15,0.0,77,2,37,1,0,5,7,50.8,0,Failed
169,32,Indonesia,Intermediate,13,4.9,66,4,34,1,0,4,10,67.4,1,Passed
170,17,India,No prior experience,3,4.4,59,0,35,1,1,7,9,22.6,0,Failed
171,17,Other,Intermediate,13,8.6,61,1,44,1,0,7,10,61.0,1,Passed
172,43,Other,No prior experience,6,4.6,58,1,39,0,1,6,7,21.4,0,Failed
173,38,Bangladesh,No prior experience,8,6.4,67,2,46,1,1,6,8,38.6,0,Failed
174,52,Brazil,Beginner,13,11.6,52,3,37,0,0,3,5,56.5,0,Failed
175,47,Brazil,No prior experience,15,10.0,61,0,32,0,0,9,2,24.7,0,Failed
176,48,India,No prior experience,9,9.7,56,1,33,0,1,4,8,36.3,0,Failed
177,16,Germany,Beginner,14,5.5,59,1,46,0,0,7,5,47.4,0,Failed
178,34,Pakistan,No prior experience,6,8.6,53,0,50,0,0,6,9,32.1,0,Failed
179,17,Bangladesh,No prior experience,5,6.3,52,1,39,1,1,1,6,23.3,0,Failed
180,41,Pakistan,No prior experience,12,6.4,56,2,30,1,0,0,7,31.7,0,Failed
181,47,Indonesia,Beginner,11,8.2,65,1,35,1,1,5,1,36.8,0,Failed
182,21,Brazil,Beginner,2,5.2,72,2,42,1,0,7,8,50.0,0,Failed
183,47,Nigeria,Intermediate,2,11.5,55,3,41,0,1,6,7,81.4,1,Passed
184,19,Indonesia,Intermediate,9,6.5,64,3,46,0,0,5,7,61.9,1,Passed
185,26,Indonesia,Beginner,2,8.9,48,2,47,0,0,1,7,48.4,0,Failed
186,32,India,Intermediate,2,11.4,65,2,33,0,1,5,7,77.6,1,Passed
187,53,USA,No prior experience,3,10.1,46,0,35,1,0,8,1,32.8,0,Failed
188,39,Indonesia,No prior experience,3,2.8,54,1,36,0,0,9,9,6.8,0,Failed
189,20,Bangladesh,Intermediate,4,8.3,52,1,43,0,1,3,7,39.5,0,Failed
190,49,UK,Beginner,7,9.6,56,2,43,0,1,3,7,40.6,0,Failed
191,21,UK,Advanced,9,9.7,52,6,45,0,0,3,1,60.9,1,Passed
192,37,Bangladesh,Beginner,2,3.7,67,1,41,0,0,3,6,59.6,0,Failed
193,26,USA,Intermediate,4,5.0,47,1,40,1,1,7,10,63.9,1,Passed
194,31,USA,Beginner,9,10.0,66,3,45,0,0,5,8,54.4,0,Failed
195,48,India,Beginner,14,4.7,61,4,36,0,1,5,5,47.4,0,Failed
196,24,Brazil,Beginner,2,6.1,66,1,39,0,0,3,1,21.6,0,Failed
197,21,Pakistan,Intermediate,10,11.7,58,2,38,1,1,7,5,57.9,0,Failed
198,31,USA,Beginner,11,6.9,67,2,51,0,0,7,2,22.3,0,Failed
199,44,Nigeria,Advanced,13,4.8,57,1,50,0,0,2,2,31.8,0,Failed
200,18,India,No prior experience,1,4.4,54,1,33,0,0,6,4,19.7,0,Failed
201,35,Other,No prior experience,10,8.0,65,0,47,1,0,5,4,19.1,0,Failed
202,51,Germany,Beginner,8,3.0,66,1,47,1,0,2,10,32.3,0,Failed
203,34,Other,Beginner,9,6.3,54,2,50,0,0,5,7,56.9,0,Failed
204,41,India,Intermediate,7,8.0,63,3,32,1,1,1,9,70.5,1,Passed
205,18,Indonesia,No prior experience,8,10.9,70,2,52,0,0,4,2,43.2,0,Failed
206,34,Pakistan,Beginner,4,9.0,72,5,28,0,1,7,8,62.9,1,Passed
207,35,Germany,Beginner,4,4.9,71,1,37,0,0,5,8,48.8,0,Failed
208,47,Other,Beginner,13,10.5,67,1,45,0,1,5,8,58.3,0,Failed
209,22,Germany,Intermediate,2,6.1,58,1,34,1,1,2,9,43.1,0,Failed
210,48,Nigeria,No prior experience,8,3.3,55,3,27,1,1,5,9,31.9,0,Failed
211,54,Nigeria,Beginner,15,6.5,68,2,42,0,0,6,10,35.8,0,Failed
212,33,Nigeria,Advanced,11,11.3,56,0,36,0,1,3,7,63.1,1,Passed
213,16,India,Intermediate,2,7.5,62,2,30,0,0,6,5,47.1,0,Failed
214,26,Pakistan,Beginner,9,7.0,54,2,39,0,0,4,7,45.0,0,Failed
215,43,India,Beginner,14,11.9,63,1,37,1,1,5,7,52.9,0,Failed
216,40,UK,No prior experience,4,2.7,52,0,31,1,0,4,10,26.4,0,Failed
217,38,Indonesia,Beginner,1,3.1,62,1,35,1,0,9,10,40.4,0,Failed
218,46,Indonesia,Intermediate,13,2.2,60,3,34,0,0,11,7,54.5,0,Failed
219,45,Nigeria,Beginner,4,8.1,58,1,48,1,0,5,8,50.4,0,Failed
220,50,UK,No prior experience,3,7.5,58,5,32,0,0,4,2,30.4,0,Failed
221,22,USA,No prior experience,12,11.6,59,2,42,1,1,5,4,49.6,0,Failed
222,31,USA,No prior experience,6,7.7,50,3,39,0,0,4,9,42.6,0,Failed
223,41,Nigeria,No prior experience,7,5.8,55,2,39,0,1,6,4,26.7,0,Failed
224,17,Other,No prior experience,8,7.0,58,0,33,0,1,4,2,9.1,0,Failed
225,16,India,Beginner,2,7.4,65,1,45,0,1,5,7,35.7,0,Failed
226,27,Nigeria,No prior experience,6,2.0,61,1,38,1,1,5,6,18.7,0,Failed
227,20,Brazil,No prior experience,15,15.1,50,3,43,1,1,3,4,46.5,0,Failed
228,52,Germany,Beginner,6,8.6,55,4,57,1,0,2,8,52.2,0,Failed
229,47,Indonesia,No prior experience,10,7.6,46,2,42,0,0,7,6,25.0,0,Failed
230,24,USA,No prior experience,12,8.8,60,3,47,0,1,6,8,33.8,0,Failed
231,50,Bangladesh,No prior experience,5,9.1,55,0,44,1,1,4,4,37.2,0,Failed
232,34,USA,No prior experience,10,6.6,55,0,39,1,1,4,2,22.9,0,Failed
233,31,Indonesia,Beginner,10,5.1,65,1,54,0,0,4,6,26.4,0,Failed
234,18,Germany,No prior experience,7,8.8,67,2,38,1,0,3,9,42.5,0,Failed
235,35,Indonesia,Intermediate,3,8.2,63,2,43,1,0,5,9,49.5,0,Failed
236,39,Bangladesh,Advanced,4,4.6,67,2,54,1,1,5,9,69.7,1,Passed
237,48,Nigeria,Intermediate,10,11.3,63,2,39,0,1,0,3,55.5,0,Failed
238,39,UK,Beginner,13,7.9,58,0,45,1,1,6,3,30.3,0,Failed
239,26,Bangladesh,Intermediate,9,9.2,60,2,34,0,1,5,10,59.9,0,Failed
240,23,Indonesia,Beginner,4,11.2,60,1,36,1,0,9,3,49.1,0,Failed
241,51,Indonesia,No prior experience,3,7.1,64,0,42,0,1,4,5,17.4,0,Failed
242,53,Brazil,Beginner,14,8.0,54,1,60,1,0,8,5,49.0,0,Failed
243,35,Brazil,Intermediate,2,9.4,64,1,24,1,1,7,5,69.3,1,Passed
244,50,Pakistan,No prior experience,5,4.8,53,0,39,0,0,4,8,18.6,0,Failed
245,40,Brazil,No prior experience,4,7.2,66,2,40,1,0,6,10,51.7,0,Failed
246,50,India,Intermediate,13,7.4,55,2,37,0,0,9,8,53.1,0,Failed
247,40,UK,Intermediate,13,4.1,61,2,33,0,1,7,8,54.0,0,Failed
248,44,Germany,No prior experience,8,14.0,62,2,41,0,1,1,9,57.1,0,Failed
249,33,Bangladesh,Beginner,7,2.8,81,0,47,0,0,7,10,38.4,0,Failed
250,33,Indonesia,No prior experience,6,3.1,54,3,41,1,1,9,6,32.8,0,Failed
251,17,Pakistan,Intermediate,11,10.9,63,0,41,0,1,4,2,41.1,0,Failed
252,50,Pakistan,No prior experience,12,9.1,60,2,44,1,1,5,9,56.7,0,Failed
253,31,Germany,No prior experience,2,3.9,73,0,47,0,0,2,6,9.6,0,Failed
254,51,UK,Intermediate,3,8.8,69,4,32,1,0,5,1,63.6,1,Passed
255,48,Bangladesh,Beginner,10,11.4,69,0,31,0,0,2,5,35.5,0,Failed
256,19,USA,Beginner,9,6.9,62,5,37,0,0,0,7,43.5,0,Failed
257,48,Brazil,Beginner,13,14.8,59,4,39,1,1,4,1,66.2,1,Passed
258,29,Nigeria,No prior experience,9,1.8,68,0,41,0,0,5,7,26.9,0,Failed
259,36,Pakistan,Beginner,15,9.1,74,0,38,1,0,5,5,37.2,0,Failed
260,35,Brazil,No prior experience,5,10.5,52,2,45,0,0,5,5,24.0,0,Failed
261,23,Brazil,Beginner,14,9.7,54,3,40,0,0,5,2,39.3,0,Failed
262,22,India,No prior experience,3,6.4,61,1,45,1,1,6,4,23.1,0,Failed
263,18,UK,Beginner,2,6.1,40,1,50,1,1,8,9,47.2,0,Failed
264,32,Nigeria,Advanced,8,8.3,69,2,45,0,0,6,2,48.1,0,Failed
265,48,USA,Advanced,15,9.4,57,4,35,1,1,2,9,92.8,1,Passed
266,27,Indonesia,Beginner,6,8.8,63,1,51,0,0,5,8,58.6,0,Failed
267,37,India,No prior experience,10,10.1,64,1,44,0,1,1,4,31.2,0,Failed
268,37,Brazil,Beginner,11,3.9,58,0,48,0,0,3,2,10.8,0,Failed
269,45,Brazil,Intermediate,12,6.3,51,1,36,1,0,10,6,60.1,1,Passed
270,53,Other,No prior experience,7,4.2,48,0,31,0,1,3,7,8.2,0,Failed
271,53,Nigeria,Advanced,1,5.8,54,1,45,0,1,6,2,53.2,0,Failed
272,23,Nigeria,No prior experience,1,10.0,46,2,40,1,0,3,8,35.2,0,Failed
273,42,Other,Advanced,10,7.3,61,3,25,0,1,3,9,63.3,1,Passed
274,42,Nigeria,Intermediate,2,14.8,47,1,43,0,1,6,5,79.5,1,Passed
275,49,Brazil,Intermediate,10,7.6,63,4,41,0,0,5,6,54.0,0,Failed
276,36,Pakistan,No prior experience,15,7.2,55,3,34,0,0,5,6,31.1,0,Failed
277,45,Bangladesh,No prior experience,3,7.3,75,2,30,0,0,3,10,38.7,0,Failed
278,48,Brazil,Beginner,12,5.1,67,1,37,0,1,4,2,31.0,0,Failed
279,43,India,No prior experience,1,6.8,66,3,45,0,1,4,1,29.4,0,Failed
280,48,UK,No prior experience,14,10.4,53,3,45,0,1,7,5,40.3,0,Failed
281,20,Other,Beginner,5,7.3,67,2,47,1,1,3,6,52.6,0,Failed
282,34,USA,Beginner,15,4.6,62,1,31,1,1,2,1,19.1,0,Failed
283,19,Indonesia,Beginner,15,4.2,49,2,53,1,0,4,8,31.0,0,Failed
284,50,USA,Beginner,3,5.6,54,2,51,0,0,4,5,45.6,0,Failed
285,32,Brazil,No prior experience,1,7.2,80,4,51,0,0,4,5,45.6,0,Failed
286,43,India,Advanced,8,10.6,49,1,37,1,1,2,8,68.6,1,Passed
287,45,Brazil,No prior experience,12,3.0,46,0,44,1,1,6,8,27.5,0,Failed
288,44,UK,Beginner,11,6.0,52,7,45,0,0,7,9,70.6,1,Passed
289,21,Pakistan,Beginner,6,7.4,70,1,40,0,0,7,4,45.8,0,Failed
290,50,Indonesia,Intermediate,9,1.5,73,2,36,1,1,4,3,56.4,0,Failed
291,52,UK,No prior experience,3,4.5,58,1,47,0,0,4,10,26.2,0,Failed
292,39,Other,Beginner,9,5.0,46,7,46,0,1,4,2,47.8,0,Failed
293,44,Other,Beginner,9,4.6,63,1,40,0,0,5,1,22.2,0,Failed
294,46,Brazil,No prior experience,15,7.6,57,4,34,1,1,7,10,32.9,0,Failed
295,50,India,Beginner,12,6.5,54,0,55,1,1,6,5,28.6,0,Failed
296,48,UK,Advanced,15,5.3,54,1,41,1,0,3,6,61.7,1,Passed
297,36,Germany,Advanced,13,8.3,76,3,47,1,1,8,8,79.9,1,Passed
298,47,India,No prior experience,12,12.2,82,5,40,0,0,4,6,54.3,0,Failed
299,38,Pakistan,No prior experience,1,11.9,68,3,38,1,0,4,2,46.1,0,Failed
300,48,Other,No prior experience,3,1.2,56,1,34,0,0,1,8,11.7,0,Failed
301,18,Brazil,Beginner,6,8.7,62,1,41,0,1,3,5,43.1,0,Failed
302,33,Nigeria,No prior experience,8,6.5,64,3,30,1,0,5,3,40.1,0,Failed
303,40,Other,No prior experience,4,7.5,45,1,33,0,0,6,6,26.9,0,Failed
304,46,Indonesia,Advanced,5,5.8,58,3,42,0,1,7,6,51.9,0,Failed
305,18,Bangladesh,Advanced,9,7.4,71,2,27,1,0,5,3,76.8,1,Passed
306,39,Nigeria,No prior experience,6,7.5,62,0,45,1,0,8,7,26.2,0,Failed
307,47,Brazil,No prior experience,12,5.3,55,0,37,0,0,3,7,19.9,0,Failed
308,37,Germany,Beginner,7,4.3,60,2,42,0,1,5,7,42.4,0,Failed
309,38,Nigeria,No prior experience,7,5.7,63,3,43,0,1,2,8,27.9,0,Failed
310,17,Indonesia,Beginner,4,7.7,52,1,40,1,0,5,7,45.4,0,Failed
311,42,India,Beginner,4,8.8,46,2,49,0,1,2,4,35.2,0,Failed
